byte_value,stored_low_byte_count,stored_high_byte_count
0,20347,0
1,27482,0
2,27406,58076
3,27398,76
4,27439,285
5,26873,923
6,27047,1082
7,26400,275
8,26426,2
9,26055,0
10,26038,0
11,25707,0
12,25329,0
13,25341,0
14,24821,0
15,24353,0
16,24359,0
17,24327,0
18,23940,0
19,23692,0
20,23419,0
21,23461,0
22,23319,0
23,22903,0
24,22786,0
25,22679,0
26,22573,0
27,22712,0
28,22181,0
29,21943,0
30,21637,0
31,21872,0
32,136731,0
33,21265,0
34,21185,0
35,21138,0
36,20644,0
37,20624,0
38,20490,0
39,20240,0
40,20335,0
41,20201,0
42,20044,0
43,19643,0
44,19370,0
45,19351,0
46,19160,0
47,19463,0
48,19155,2
49,19073,1
50,18851,5
51,18585,25
52,18609,104
53,18627,353
54,18395,1526
55,18102,5947
56,17912,23674
57,17804,82862
58,17894,205174
59,17795,601152
60,17559,1285165
61,17432,223702
62,17468,6
63,17620,0
64,17171,0
65,17300,0
66,16943,0
67,17084,0
68,17078,0
69,16797,0
70,16691,0
71,16767,0
72,16400,0
73,16517,0
74,16652,0
75,16413,0
76,16318,0
77,16091,0
78,16001,0
79,15810,0
80,15715,0
81,15880,0
82,15442,0
83,15714,0
84,15575,0
85,15605,0
86,15354,0
87,15397,0
88,15454,0
89,15174,0
90,14914,0
91,15095,0
92,15090,0
93,14957,0
94,14700,0
95,15024,0
96,15018,0
97,14939,0
98,14768,0
99,14754,0
100,14458,0
101,14365,0
102,14427,0
103,14294,0
104,14218,0
105,14425,0
106,14012,0
107,14357,0
108,14301,0
109,14128,0
110,14236,0
111,13925,0
112,13923,0
113,14063,0
114,13874,0
115,13882,0
116,13833,0
117,13797,0
118,13627,0
119,13910,0
120,13537,0
121,13553,0
122,13481,0
123,13634,0
124,13650,0
125,13434,0
126,13376,0
127,14448,0
128,18935,0
129,26319,0
130,26500,57552
131,26047,87
132,26308,322
133,26241,891
134,25924,1090
135,25528,296
136,25808,3
137,25417,0
138,25222,0
139,24984,0
140,24935,0
141,24860,0
142,24645,0
143,24496,0
144,24335,0
145,24183,0
146,24474,0
147,24169,0
148,23703,0
149,23911,0
150,23707,0
151,23709,0
152,23588,0
153,23135,0
154,23266,0
155,23156,0
156,23064,0
157,22879,0
158,22423,0
159,22720,0
160,22484,0
161,22440,0
162,21791,0
163,22148,0
164,21883,0
165,21992,0
166,21993,0
167,21716,0
168,21548,0
169,21246,0
170,21553,0
171,21263,0
172,21322,0
173,21152,0
174,21220,0
175,21164,1
176,20705,1
177,20891,1
178,20756,6
179,20753,26
180,20641,89
181,20302,371
182,20295,1512
183,20311,5954
184,20375,23847
185,19973,83216
186,19725,205431
187,19889,601830
188,19654,1289277
189,19546,226704
190,19259,4
191,19371,0
192,19379,0
193,19214,0
194,18983,0
195,19266,0
196,19154,0
197,18813,0
198,18775,0
199,18428,0
200,18632,0
201,18518,0
202,18109,0
203,18378,0
204,18031,0
205,18107,0
206,17936,0
207,18090,0
208,17976,0
209,17673,0
210,17933,0
211,17535,0
212,17615,0
213,17461,0
214,17433,0
215,17382,0
216,17170,0
217,17183,0
218,16978,0
219,17004,0
220,16880,0
221,16967,0
222,16687,0
223,16399,0
224,16598,0
225,16492,0
226,16244,0
227,16359,0
228,16243,0
229,16248,0
230,16232,0
231,15900,0
232,15827,0
233,15813,0
234,15788,0
235,15591,0
236,15439,0
237,15777,0
238,15471,0
239,15286,0
240,15344,0
241,15228,0
242,15229,0
243,14950,0
244,14884,0
245,14879,0
246,14773,0
247,14624,0
248,14676,0
249,14565,0
250,14608,0
251,14537,0
252,14265,0
253,14460,0
254,14648,0
255,15109,0
